年/月,不含11.瓦片及紅磚之[磚瓦瓷類]指數,不含37.木門、38.木板之[木材及其製品類]指數,不含58.泵浦、62.感知器之[機電設備類]指數,不含72.玻璃製品之[雜項類]指數,不含99.挖土機租金、103.舖面機租金之[機具設備租金類]指數,不含11.瓦片及紅磚、37.木門、38.木板、58.泵浦、62.感知器、72.玻璃製品、99.挖土機租金、103.舖面機租金、[砂石及級配類]之總指數,11.瓦片及紅磚指數,37.木門指數,38.木板指數,58.泵浦指數,62.感知器指數,72.玻璃製品指數,99.挖土機租金指數,103.舖面機租金指數,砂石及級配類指數
105/10,100.03,82.37,82.72,92.38,90.71,81.04,89.40,90.74,94.52,89.69,96.45,94.88,94.73,95.71,96.26
105/11,100.03,82.00,83.07,92.36,90.72,81.59,89.40,90.62,94.50,89.69,96.45,95.93,94.73,95.71,96.03
105/12,100.03,82.06,84.88,92.38,90.70,82.41,89.40,90.62,94.67,89.69,96.45,96.00,94.63,95.71,95.86
106/01,100.03,82.39,86.00,92.31,90.87,82.94,89.40,90.62,94.75,89.54,96.45,96.00,94.81,95.94,95.89
106/02,100.03,82.47,86.29,92.35,90.92,83.00,89.40,90.62,94.69,89.54,96.45,96.00,95.02,95.94,95.81
106/03,100.03,82.56,86.58,92.53,90.84,83.41,89.55,91.19,94.57,89.54,96.45,96.00,95.02,95.94,95.69
106/04,100.03,82.41,86.28,92.62,90.92,83.14,89.65,91.84,93.78,89.54,96.45,96.33,94.61,95.94,95.33
106/05,100.11,82.43,85.90,92.79,90.90,82.60,89.65,91.96,93.43,89.54,96.45,96.33,94.61,95.94,95.29
106/06,99.85,82.26,85.54,94.03,90.99,82.68,89.82,92.08,93.15,89.54,96.45,96.33,94.61,95.94,95.27
106/07,99.71,82.26,85.83,94.02,91.18,82.92,89.82,92.19,93.08,89.54,96.45,96.07,94.85,96.19,95.40
106/08,99.43,82.89,86.80,94.15,91.18,83.84,89.82,92.31,93.19,89.54,96.45,96.07,94.85,96.19,95.44
106/09,99.00,83.23,87.77,94.19,91.27,84.47,89.82,92.43,93.97,89.54,96.45,95.92,94.90,96.24,95.65
106/10,98.77,84.27,88.23,92.97,91.14,84.37,89.43,92.43,94.72,90.10,96.45,96.25,94.90,96.24,95.65
106/11,98.77,84.78,88.98,93.00,91.07,84.64,89.27,92.43,95.91,90.38,96.45,96.25,94.90,96.24,95.84
106/12,98.85,85.11,89.11,93.14,91.05,84.83,89.27,92.43,97.93,90.38,96.45,96.25,94.90,96.24,95.66
107/01,98.38,85.64,89.53,93.23,91.14,85.32,88.67,93.22,97.93,90.38,96.45,96.25,94.90,96.24,95.76
